Descricao,Problema,Solucao
meu carro não liga,problema no motor,Verificar bateria e sistema de ignição; se persistir levar a um mecânico especializado
o motor está fazendo barulho estranho,problema no motor,Verificar nível de óleo e filtro; se o barulho continuar procurar um mecânico
percebo um cheiro de gasolina ao ligar o carro,problema no motor,Verificar vazamento no sistema de combustível; evitar dirigir e levar ao mecânico
o motor treme muito quando acelero,problema no motor,Verificar velas e injetores; se o problema persistir procurar assistência especializada
o carro perde potência ao subir uma ladeira,problema no motor,Verificar filtro de ar e sistema de combustão; procurar um mecânico se o problema continuar
sinto um cheiro de queimado vindo do motor,problema no motor,Verificar nível de óleo e correias; procurar assistência imediata se persistir
o carro engasga ao acelerar,problema no motor,Verificar filtro de combustível e velas; buscar assistência se não resolver
o motor falha ao acelerar em alta velocidade,problema no motor,Limpar ou substituir o filtro de combustível; procurar um especialista
o carro não responde ao girar a chave,problema no motor,Verificar bateria e sistema de partida; se necessário procurar um eletricista
o motor funciona de forma irregular,problema no motor,Verificar injeção eletrônica; buscar assistência técnica
o carro apaga quando está parado,problema no motor,Verificar regulagem da lenta; levar ao mecânico se necessário
a luz do motor acendeu no painel,problema no motor,Verificar códigos de erro; levar ao mecânico para diagnóstico
o motor está aquecendo rapidamente,problema no motor,Verificar nível de líquido de arrefecimento; se persistir procurar um especialista
o carro falha ao dar a partida,problema no motor,Verificar bateria e motor de partida; procurar um mecânico se não resolver
sinto vibrações estranhas ao dirigir,problema no motor,Verificar alinhamento e balanceamento; se persistir levar a um mecânico
o motor faz um barulho de batida,problema no motor,Verificar óleo do motor e rolamentos; procurar assistência se o problema continuar
o carro não acelera adequadamente,problema no motor,Verificar pedal do acelerador e sistema de injeção; procurar um mecânico se necessário
o motor funciona apenas em marcha lenta,problema no motor,Verificar regulagem de marcha lenta; se necessário procurar um especialista
o carro solta fumaça branca pelo escapamento,problema no motor,Verificar vedação do cabeçote; evitar uso e levar ao mecânico
o motor não mantém a marcha lenta,problema no motor,Verificar regulagem de lenta e injeção; procurar assistência se não resolver
o carro faz um barulho de estalo ao ligar,problema no motor,Verificar bateria e motor de partida; se necessário levar ao mecânico
o motor não gira ao tentar dar a partida,problema no motor,Verificar bateria e cabos; procurar um eletricista se necessário
sinto falta de potência em subidas,problema no motor,Verificar sistema de injeção e combustível; procurar assistência se o problema persistir
o motor falha quando está frio,problema no motor,Verificar velas e bomba de combustível; se necessário levar ao mecânico
o carro faz barulhos ao desacelerar,problema no motor,Verificar sistema de freios; procurar um mecânico se necessário
a luz de óleo acendeu no painel,problema no motor,Verificar nível de óleo e bomba de óleo; procurar um mecânico imediatamente
o carro está perdendo líquido embaixo dele,problema no motor,Verificar vazamentos; evitar uso e levar ao mecânico
o motor oscila entre altas e baixas rotações,problema no motor,Verificar sensor de rotação; procurar assistência se não resolver
o carro não responde ao acelerar no tráfego,problema no motor,Verificar sistema de injeção; procurar um mecânico se necessário
a embreagem não está respondendo,problema na embreagem,Verificar o nível do fluido de embreagem; se necessário levar a um mecânico especializado
o pedal da embreagem está muito duro,problema na embreagem,Verificar o fluido e o cilindro mestre; procurar um mecânico se o problema persistir
o carro não engata as marchas corretamente,problema na embreagem,Verificar o cabo da embreagem; se necessário  ajustar ou substituir
ouço um barulho estranho ao apertar a embreagem,problema na embreagem,Verificar o sistema de embreagem e rolamentos; levar ao mecânico para inspeção
o pedal da embreagem fica preso no fundo,problema na embreagem,Verificar o cabo e o cilindro mestre; se necessário procurar assistência
percebo um cheiro de queimado quando uso a embreagem,problema na embreagem,Evitar uso e levar ao mecânico para verificar o estado da embreagem
o carro treme ao trocar de marcha,problema na embreagem,Verificar o alinhamento do câmbio; se necessário procurar assistência
o pedal da embreagem desce mais do que o normal,problema na embreagem,Verificar o sistema de embreagem; levar ao mecânico se o problema persistir
a embreagem parece deslizar ao acelerar,problema na embreagem,Verificar o estado do disco de embreagem; se necessário substituir
o carro não engata a marcha ré,problema na embreagem,Verificar o sistema de transmissão e embreagem; procurar um mecânico se necessário
o carro não desce de marcha corretamente,problema na embreagem,Verificar o sistema de embreagem; procurar assistência se necessário
a embreagem faz barulho ao ser acionada,problema na embreagem,Verificar rolamentos; levar ao mecânico para inspeção e possível substituição
o pedal da embreagem volta muito lentamente,problema na embreagem,Verificar o cilindro mestre; se necessário procurar assistência
sinto dificuldade em engatar a primeira marcha,problema na embreagem,Verificar alinhamento e ajuste da embreagem; procurar um mecânico se persistir
o carro apaga ao tentar arrancar,problema na embreagem,Verificar a regulagem da embreagem e sistema de combustível; levar ao mecânico
o pedal da embreagem está molengo,problema na embreagem,Verificar o fluido da embreagem e cilindro mestre; procurar assistência se necessário
o carro não acelera ao soltar a embreagem,problema na embreagem,Verificar o sistema de embreagem e disco; se necessário procurar um mecânico
o carro não arranca bem em subidas,problema na embreagem,Verificar o estado da embreagem; se necessário levar ao mecânico
o pedal da embreagem fica muito baixo,problema na embreagem,Verificar o sistema de embreagem; procurar assistência se necessário
a embreagem não desengata de forma adequada,problema na embreagem,Verificar o cilindro mestre e disco de embreagem; levar ao mecânico
ouço um rangido quando uso a embreagem,problema na embreagem,Verificar rolamentos e disco; procurar um mecânico se necessário
o carro não se movimenta ao soltar a embreagem,problema na embreagem,Verificar se a embreagem está desgastada; se necessário substituir
o pedal da embreagem tem um curso muito longo,problema na embreagem,Verificar o ajuste da embreagem; se necessário levar ao mecânico
o carro dá solavancos ao trocar de marcha,problema na embreagem,Verificar o sistema de embreagem e transmissão; procurar assistência
percebo que a embreagem não volta ao lugar,problema na embreagem,Verificar o sistema de embreagem; levar ao mecânico se necessário
a embreagem não disengata totalmente,problema na embreagem,Verificar cilindro e disco de embreagem; procurar um mecânico
o carro solta fumaça quando uso a embreagem,problema na embreagem,Evitar uso e levar ao mecânico para verificação imediata
a marcha não engata,problema na marcha,Verificar o fluido de transmissão; levar ao mecânico se o problema persistir
o carro não troca de marcha corretamente,problema na marcha,Verificar o sistema de transmissão; se necessário ajustar ou substituir
ouço um barulho ao mudar de marcha,problema na marcha,Verificar o câmbio e rolamentos; procurar um mecânico para inspeção
a marcha fica dura ao tentar engatar,problema na marcha,Verificar o fluido de transmissão e cabo; se necessário ajustar ou substituir
o carro desliza ao mudar de marcha,problema na marcha,Verificar o sistema de embreagem; levar ao mecânico se necessário
o pedal da marcha vibra ao dirigir,problema na marcha,Verificar o alinhamento e o câmbio; procurar assistência se o problema persistir
sinto resistência ao engatar a marcha,problema na marcha,Verificar o fluido de transmissão e o sistema de embreagem; se necessário levar ao mecânico
o carro não acelera ao trocar de marcha,problema na marcha,Verificar o sistema de embreagem e transmissão; se necessário procurar assistência
o carro não se movimenta na marcha ré,problema na marcha,Verificar o sistema de transmissão; procurar um mecânico se necessário
a marcha faz um ruído estranho,problema na marcha,Verificar o câmbio e rolamentos; procurar um mecânico para avaliação
o câmbio não responde ao ser acionado,problema na marcha,Verificar o nível do fluido de transmissão; levar ao mecânico se necessário
o carro dá trancos ao trocar de marcha,problema na marcha,Verificar o sistema de embreagem e transmissão; se necessário ajustar ou substituir
o indicador de marcha não funciona,problema na marcha,Verificar o sistema elétrico e o sensor; levar ao mecânico para correção
o carro solta fumaça ao trocar de marcha,problema na marcha,Evitar uso e levar ao mecânico para verificação imediata
o pedal da marcha fica preso,problema na marcha,Verificar o sistema de câmbio e o pedal; procurar um mecânico se necessário
o carro não mantém a marcha em alta velocidade,problema na marcha,Verificar o sistema de transmissão e embreagem; se necessário levar ao mecânico
o câmbio automático não troca de marcha,problema na marcha,Verificar o nível do fluido de transmissão; levar ao mecânico para inspeção
o carro falha ao engatar a segunda marcha,problema na marcha,Verificar o sistema de embreagem; se necessário  procurar um mecânico
o carro faz barulho ao mudar de marcha,problema na marcha,Verificar o câmbio e rolamentos; levar ao mecânico para avaliação
o carro não desce de marcha corretamente,problema na marcha,Verificar o sistema de embreagem e transmissão; procurar assistência se necessário
o pedal da marcha está muito mole,problema na marcha,Verificar o sistema de embreagem; levar ao mecânico se necessário
o câmbio parece travado,problema na marcha,Verificar o sistema de transmissão; levar ao mecânico para inspeção
o carro perde potência ao mudar de marcha,problema na marcha,Verificar o sistema de embreagem e transmissão; se necessário procurar assistência
o carro treme ao mudar de marcha,problema na marcha,Verificar o sistema de embreagem e câmbio; procurar assistência se necessário
o pedal da marcha volta lentamente,problema na marcha,Verificar o sistema de embreagem; se necessário levar ao mecânico
o carro não responde ao tentar engatar a marcha,problema na marcha,Verificar o sistema de embreagem e câmbio; se necessário procurar um mecânico
o carro faz um barulho de estalo ao trocar de marcha,problema na marcha,Verificar o câmbio e rolamentos; levar ao mecânico para inspeção
o câmbio faz um barulho de arranhão ao mudar de marcha,problema na marcha,Verificar o sistema de transmissão; se necessário procurar um mecânico
o carro não mantém a marcha na descida,problema na marcha,Verificar o sistema de embreagem e transmissão; procurar assistência se necessário
o volante está duro ao girar,problema na direção,Verificar o nível do fluido de direção; se necessário levar ao mecânico
o carro puxa para um lado ao dirigir,problema na direção,Verificar o alinhamento das rodas; procurar um mecânico se necessário
ouço um barulho ao girar o volante,problema na direção,Verificar o sistema de direção e os rolamentos; levar ao mecânico para avaliação
o volante vibra ao dirigir,problema na direção,Verificar o balanceamento das rodas; procurar um mecânico se necessário
o carro não responde ao girar o volante,problema na direção,Verificar o sistema de direção; levar ao mecânico se necessário
sinto resistência ao girar a direção,problema na direção,Verificar o fluido de direção e a bomba; se necessário  levar ao mecânico
o volante faz um estalo ao girar,problema na direção,Verificar o sistema de direção e a suspensão; procurar um mecânico para inspeção
o carro tem dificuldade em fazer curvas,problema na direção,Verificar a suspensão e alinhamento; levar ao mecânico se necessário
o sistema de direção está muito leve,problema na direção,Verificar o fluido de direção; se necessário  levar ao mecânico para ajuste
o carro solta fumaça ao girar,problema na direção,Evitar uso e levar ao mecânico imediatamente para verificação
o volante fica preso em algumas posições,problema na direção,Verificar o sistema de direção; procurar um mecânico se necessário
o carro está com a direção desalinhada,problema na direção,Realizar o alinhamento das rodas; levar ao mecânico para ajuste
o volante tem folga,problema na direção,Verificar o sistema de direção; se necessário  levar ao mecânico
percebo um cheiro de queimado ao dirigir,problema na direção,Evitar uso e levar ao mecânico imediatamente para inspeção
o carro não volta à posição central após uma curva,problema na direção,Verificar o sistema de direção; levar ao mecânico se necessário
sinto um tremor ao dirigir em alta velocidade,problema na direção,Verificar o balanceamento das rodas; procurar um mecânico se necessário
o carro faz barulho ao passar por buracos,problema na direção,Verificar a suspensão e o sistema de direção; levar ao mecânico para avaliação
o volante está desalinhado,problema na direção,Realizar o alinhamento das rodas; levar ao mecânico para ajuste
ao girar o volante  o carro não responde,problema na direção,Verificar o sistema de direção; levar ao mecânico se necessário
o carro apresenta dificuldade em voltar à posição reto,problema na direção,Verificar o sistema de direção; se necessário  levar ao mecânico
o volante fica mais pesado ao acelerar,problema na direção,Verificar o fluido de direção; levar ao mecânico se necessário
o volante parece solto ao dirigir,problema na direção,Verificar o sistema de direção; levar ao mecânico para reparo
o carro faz barulho ao girar em baixa velocidade,problema na direção,Verificar o sistema de direção; procurar um mecânico se necessário
o volante não retorna ao centro automaticamente,problema na direção,Verificar o sistema de direção; levar ao mecânico para ajuste
o volante vibra em altas velocidades,problema na direção,Verificar o balanceamento das rodas; procurar um mecânico se necessário
o carro apresenta dificuldade em manobras,problema na direção,Verificar o sistema de direção; levar ao mecânico para inspeção
o volante tem um movimento irregular,problema na direção,Verificar o sistema de direção e suspensão; levar ao mecânico para avaliação
o carro não está seguindo a trajetória correta,problema na direção,Verificar o alinhamento das rodas; levar ao mecânico para correção
o volante faz barulho ao ser acionado,problema na direção,Verificar o sistema de direção; procurar um mecânico se necessário
o carro não mantém a trajetória estável,problema na direção,Verificar o alinhamento e o sistema de direção; levar ao mecânico se necessário
o ar condicionado não está gelando,problema relacionado ao conforto,Verificar o nível de gás do ar condicionado; se necessário levar ao mecânico
o banco do motorista não ajusta mais,problema relacionado ao conforto,Verificar o mecanismo do ajuste; levar ao mecânico se necessário
o carro faz barulho ao passar por buracos,problema relacionado ao conforto,Verificar a suspensão; levar ao mecânico para inspeção
a ventilação está fraca dentro do carro,problema relacionado ao conforto,Verificar o filtro de ar; se necessário substituí-lo
o encosto do banco está solto,problema relacionado ao conforto,Verificar os parafusos do encosto; se necessário apertar ou levar ao mecânico
a suspensão parece dura demais,problema relacionado ao conforto,Verificar a suspensão e amortecedores; levar ao mecânico para avaliação
o vidro elétrico não funciona,problema relacionado ao conforto,Verificar o fusível e o motor do vidro; levar ao mecânico se necessário
a regulagem de altura do volante não trava,problema relacionado ao conforto,Verificar o mecanismo de ajuste; levar ao mecânico se necessário
o banco esquenta demais ao ligar o aquecimento,problema relacionado ao conforto,Verificar o sistema de aquecimento; levar ao mecânico se necessário
os vidros ficam embaçados mesmo com a ventilação,problema relacionado ao conforto,Verificar o sistema de ventilação; limpar ou trocar o filtro se necessário
o porta-copos está quebrado,problema relacionado ao conforto,Substituir o porta-copos ou levar ao mecânico para reparo
o apoio de braço está solto,problema relacionado ao conforto,Verificar os parafusos do apoio; apertar ou levar ao mecânico se necessário
o teto solar faz barulho ao abrir,problema relacionado ao conforto,Verificar os trilhos do teto solar; levar ao mecânico se necessário
o ajuste de lombar no banco está com defeito,problema relacionado ao conforto,Verificar o mecanismo de ajuste; levar ao mecânico se necessário
o encosto de cabeça está duro demais,problema relacionado ao conforto,Verificar o ajuste do encosto; levar ao mecânico se necessário
a iluminação interna não funciona,problema relacionado ao conforto,Verificar as lâmpadas e fusíveis; substituir se necessário
o banco traseiro não rebate,problema relacionado ao conforto,Verificar o mecanismo de dobragem; levar ao mecânico se necessário
o ar quente não funciona,problema relacionado ao conforto,Verificar o nível de líquido de arrefecimento; levar ao mecânico se necessário
a buzina não funciona,problema relacionado ao conforto,Verificar o fusível e o sistema elétrico; levar ao mecânico se necessário
os tapetes estão escorregadios,problema relacionado ao conforto,Substituir os tapetes por modelos antiderrapantes
o volante parece pesado,problema relacionado ao conforto,Verificar o fluido de direção; levar ao mecânico se necessário
a maçaneta interna está quebrada,problema relacionado ao conforto,Substituir a maçaneta ou levar ao mecânico para reparo
os pedais parecem distantes,problema relacionado ao conforto,Verificar a posição do assento e do volante; ajustar conforme necessário
o porta-malas faz ruído ao rodar,problema relacionado ao conforto,Verificar o fechamento do porta-malas; levar ao mecânico se necessário
as portas não fecham suavemente,problema relacionado ao conforto,Verificar as dobradiças e o alinhamento; levar ao mecânico se necessário
o vidro da porta do passageiro está emperrado,problema relacionado ao conforto,Verificar o motor do vidro e trilhos; levar ao mecânico se necessário
o banco faz barulho ao sentar,problema relacionado ao conforto,Verificar o sistema de fixação do banco; apertar ou levar ao mecânico se necessário
o painel esquenta demais,problema relacionado ao conforto,Verificar o sistema de ventilação e ar condicionado; levar ao mecânico se necessário
o sistema de som não está saindo nos alto-falantes traseiros,problema relacionado ao conforto,Verificar o sistema de som e conexões; levar ao mecânico se necessário
a ventilação faz um ruído estranho,problema relacionado ao conforto,Verificar o ventilador e o filtro; levar ao mecânico se necessário
